id,title,artist,year,culture,classification,medium,source_url,image_manifest_url,image_source_used,palette_image_file,palette_image_path,dominant_colors_hex,color_ratios,color_chinese_names,overall_tone,color_family,color_tags_cn,color_1_hex,color_2_hex,color_3_hex,color_4_hex,color_5_hex,color_6_hex,color_7_hex,color_8_hex,color_9_hex,color_1_ratio,color_2_ratio,color_3_ratio,color_4_ratio,color_5_ratio,color_6_ratio,color_7_ratio,color_8_ratio,color_9_ratio,color_1_cn,color_2_cn,color_3_cn,color_4_cn,color_5_cn,color_6_cn,color_7_cn,color_8_cn,color_9_cn
4884,Figure with Meat,Francis Bacon,1954,现代/当代艺术,Contemporary Art,Oil on canvas,https://www.artic.edu/artworks/4884,https://api.artic.edu/api/v1/artworks/4884/manifest.json,"https://lakeimagesweb.artic.edu/iiif/2/024d361d-31d1-e53b-cca0-ee14f822347f/full/800,/0/default.jpg",4884_palette.png,outputs/color_cards/4884_palette.png,"#1C1E22, #28292E, #111519, #3B393B, #5A504C, #796F66, #233059, #9F9387, #CDC0B2","34.98%, 21.64%, 17.96%, 9.25%, 5.84%, 3.94%, 2.76%, 2.63%, 1.01%",黑色、深蓝色、黑色、深灰色、灰橙色、灰橙色、深蓝色、灰橙色、浅橙色,深色调,黑色系,黑色、深蓝色、黑色、深灰色、灰橙色、灰橙色、深蓝色、灰橙色、浅橙色、深色调、黑色系,#1C1E22,#28292E,#111519,#3B393B,#5A504C,#796F66,#233059,#9F9387,#CDC0B2,34.98%,21.64%,17.96%,9.25%,5.84%,3.94%,2.76%,2.63%,1.01%,黑色,深蓝色,黑色,深灰色,灰橙色,灰橙色,深蓝色,灰橙色,浅橙色
5357,The Red Armchair,Pablo Picasso,1931,欧美现代艺术,Modern Art,Oil on canvas,https://www.artic.edu/artworks/5357,https://api.artic.edu/api/v1/artworks/5357/manifest.json,"https://lakeimagesweb.artic.edu/iiif/2/c617e2f0-d5fe-0772-390e-6d8c83895815/full/800,/0/default.jpg",5357_palette.png,outputs/color_cards/5357_palette.png,"#905FA5, #694346, #3E3432, #167A41, #F3EB69, #D09A40, #F1F3E8, #CE3830, #BFB2C6","20.94%, 19.30%, 19.13%, 15.71%, 8.61%, 8.00%, 3.95%, 2.68%, 1.68%",紫色、红色、深红色、绿色、浅黄色、浅橙色、白色、浅红色、浅灰色,中明度色调,红色系,紫色、红色、深红色、绿色、浅黄色、浅橙色、白色、浅红色、浅灰色、中明度色调、红色系,#905FA5,#694346,#3E3432,#167A41,#F3EB69,#D09A40,#F1F3E8,#CE3830,#BFB2C6,20.94%,19.30%,19.13%,15.71%,8.61%,8.00%,3.95%,2.68%,1.68%,紫色,红色,深红色,绿色,浅黄色,浅橙色,白色,浅红色,浅灰色
5848,Landscape with Saint John on Patmos,Nicolas Poussin,1640,欧洲,Painting / Sculpture,Oil on canvas,https://www.artic.edu/artworks/5848,https://api.artic.edu/api/v1/artworks/5848/manifest.json,"https://lakeimagesweb.artic.edu/iiif/2/aa870b0d-5a1b-660a-6dc6-56c12109cf6e/full/1686,/0/default.jpg",5848_palette.png,outputs/color_cards/5848_palette.png,"#3B301C, #262212, #513E28, #6A513D, #80A6C0, #7F6857, #BDC2BD, #7591A5, #A38874","21.53%, 20.88%, 17.13%, 11.44%, 8.38%, 7.18%, 4.61%, 4.60%, 4.25%",深橙色、黑色、深橙色、橙色、蓝色、橙色、浅灰色、灰蓝色、橙色,中明度色调,橙色系,深橙色、黑色、深橙色、橙色、蓝色、橙色、浅灰色、灰蓝色、橙色、中明度色调、橙色系,#3B301C,#262212,#513E28,#6A513D,#80A6C0,#7F6857,#BDC2BD,#7591A5,#A38874,21.53%,20.88%,17.13%,11.44%,8.38%,7.18%,4.61%,4.60%,4.25%,深橙色,黑色,深橙色,橙色,蓝色,橙色,浅灰色,灰蓝色,橙色
6565,American Gothic,Grant Wood,1930,美洲,American Art,Oil on beaverboard,https://www.artic.edu/artworks/6565,https://api.artic.edu/api/v1/artworks/6565/manifest.json,"https://lakeimagesweb.artic.edu/iiif/2/b272df73-a965-ac37-4172-be4e99483637/full/800,/0/default.jpg",6565_palette.png,outputs/color_cards/6565_palette.png,"#1C1B19, #A6B7AB, #402A16, #B99C73, #7A5C38, #77705C, #A07E55, #504A3A, #CEBC99","29.28%, 15.77%, 12.16%, 9.04%, 7.82%, 7.63%, 6.49%, 6.38%, 5.42%",黑色、灰色、深橙色、橙色、橙色、灰橙色、橙色、深橙色、浅橙色,中明度色调,橙色系,黑色、灰色、深橙色、橙色、橙色、灰橙色、橙色、深橙色、浅橙色、中明度色调、橙色系,#1C1B19,#A6B7AB,#402A16,#B99C73,#7A5C38,#77705C,#A07E55,#504A3A,#CEBC99,29.28%,15.77%,12.16%,9.04%,7.82%,7.63%,6.49%,6.38%,5.42%,黑色,灰色,深橙色,橙色,橙色,灰橙色,橙色,深橙色,浅橙色
7021,Portrait of Marevna,Diego Rivera,1915,美洲,American Art,Oil on canvas,https://www.artic.edu/artworks/7021,https://api.artic.edu/api/v1/artworks/7021/manifest.json,"https://lakeimagesweb.artic.edu/iiif/2/8cca1b7d-2c6c-5f92-2e9d-6744b0a48aa4/full/800,/0/default.jpg",7021_palette.png,outputs/color_cards/7021_palette.png,"#212120, #353332, #687686, #395752, #6C4E3A, #A77455, #D9D8D3, #B7B4AF, #EAE77D","26.22%, 20.70%, 14.08%, 12.93%, 10.57%, 6.07%, 5.17%, 2.67%, 1.59%",黑色、深灰色、灰蓝色、深青色、橙色、橙色、浅灰色、灰色、浅黄色,深色调,灰色系,黑色、深灰色、灰蓝色、深青色、橙色、橙色、浅灰色、灰色、浅黄色、深色调、灰色系,#212120,#353332,#687686,#395752,#6C4E3A,#A77455,#D9D8D3,#B7B4AF,#EAE77D,26.22%,20.70%,14.08%,12.93%,10.57%,6.07%,5.17%,2.67%,1.59%,黑色,深灰色,灰蓝色,深青色,橙色,橙色,浅灰色,灰色,浅黄色
7124,Seated Nude,Henri Matisse,1909,欧美现代艺术,Modern Art,Oil on canvas,https://www.artic.edu/artworks/7124,https://api.artic.edu/api/v1/artworks/7124/manifest.json,"https://lakeimagesweb.artic.edu/iiif/2/a224d8eb-1d20-0d92-ad15-73e72289717a/full/800,/0/default.jpg",7124_palette.png,outputs/color_cards/7124_palette.png,"#F5F4F4, #5F5C5D, #302C2E, #494547, #767374, #908C8D, #A6A1A2, #161315, #C5C1C4","17.39%, 14.62%, 13.04%, 12.44%, 9.94%, 9.88%, 9.59%, 8.84%, 4.26%",白色、灰色、深灰色、深灰色、灰色、灰色、灰色、黑色、浅灰色,低饱和色调,灰色系,白色、灰色、深灰色、深灰色、灰色、灰色、灰色、黑色、浅灰色、低饱和色调、灰色系,#F5F4F4,#5F5C5D,#302C2E,#494547,#767374,#908C8D,#A6A1A2,#161315,#C5C1C4,17.39%,14.62%,13.04%,12.44%,9.94%,9.88%,9.59%,8.84%,4.26%,白色,灰色,深灰色,深灰色,灰色,灰色,灰色,黑色,浅灰色
8624,Portrait of Pablo Picasso,Juan Gris,1912,欧美现代艺术,Modern Art,Oil on canvas,https://www.artic.edu/artworks/8624,https://api.artic.edu/api/v1/artworks/8624/manifest.json,"https://lakeimagesweb.artic.edu/iiif/2/4f7ccf9f-a8ce-2bd8-2d15-a38b2e6caa7a/full/800,/0/default.jpg",8624_palette.png,outputs/color_cards/8624_palette.png,"#706562, #584F4F, #8A817E, #A39C99, #3C383C, #405B72, #B4B7B7, #8396A6, #5C7589","17.01%, 13.72%, 11.95%, 11.14%, 10.32%, 9.62%, 9.48%, 9.21%, 7.55%",灰红色、深灰色、灰色、灰色、深灰色、蓝色、灰色、灰蓝色、蓝色,低饱和色调,灰色系,灰红色、深灰色、灰色、灰色、深灰色、蓝色、灰色、灰蓝色、蓝色、低饱和色调、灰色系,#706562,#584F4F,#8A817E,#A39C99,#3C383C,#405B72,#B4B7B7,#8396A6,#5C7589,17.01%,13.72%,11.95%,11.14%,10.32%,9.62%,9.48%,9.21%,7.55%,灰红色,深灰色,灰色,灰色,深灰色,蓝色,灰色,灰蓝色,蓝色
8633,Hero Construction,Richard Hunt,1958,现代/当代艺术,Contemporary Art,Welded steel,https://www.artic.edu/artworks/8633,https://api.artic.edu/api/v1/artworks/8633/manifest.json,"https://lakeimagesweb.artic.edu/iiif/2/89bccf95-b886-c169-8ee1-7fd4a9a8df8b/full/800,/0/default.jpg",8633_palette.png,outputs/color_cards/8633_palette.png,"#FDF9F5, #F8F4F0, #F0EDEA, #3D3633, #584F4A, #221C1A, #7A716B, #9E9690, #BCB6B0","32.23%, 29.38%, 24.70%, 4.72%, 2.59%, 2.46%, 1.44%, 1.36%, 1.11%",白色、白色、白色、深橙色、深橙色、黑色、灰橙色、灰色、浅灰色,浅色调,灰色系,白色、白色、白色、深橙色、深橙色、黑色、灰橙色、灰色、浅灰色、浅色调、灰色系,#FDF9F5,#F8F4F0,#F0EDEA,#3D3633,#584F4A,#221C1A,#7A716B,#9E9690,#BCB6B0,32.23%,29.38%,24.70%,4.72%,2.59%,2.46%,1.44%,1.36%,1.11%,白色,白色,白色,深橙色,深橙色,黑色,灰橙色,灰色,浅灰色
8958,Arrangement in Flesh Color and Brown: Portrait of Arthur Jerome Eddy,James McNeill Whistler,1894,美洲,American Art,Oil on canvas,https://www.artic.edu/artworks/8958,https://api.artic.edu/api/v1/artworks/8958/manifest.json,"https://lakeimagesweb.artic.edu/iiif/2/43165650-0212-8897-0605-dc3fdda88c13/full/1686,/0/default.jpg",8958_palette.png,outputs/color_cards/8958_palette.png,"#23211B, #27241D, #1D1C17, #2E2920, #342E23, #423829, #3B3326, #493D2D, #584836","20.79%, 16.08%, 14.08%, 10.61%, 9.96%, 9.85%, 9.45%, 8.22%, 0.98%",黑色、黑色、黑色、深橙色、深橙色、深橙色、深橙色、深橙色、深橙色,深色调,黑色系,黑色、黑色、黑色、深橙色、深橙色、深橙色、深橙色、深橙色、深橙色、深色调、黑色系,#23211B,#27241D,#1D1C17,#2E2920,#342E23,#423829,#3B3326,#493D2D,#584836,20.79%,16.08%,14.08%,10.61%,9.96%,9.85%,9.45%,8.22%,0.98%,黑色,黑色,黑色,深橙色,深橙色,深橙色,深橙色,深橙色,深橙色
8991,Improvisation No. 30 (Cannons),Vasily Kandinsky,1913,欧美现代艺术,Modern Art,Oil on canvas,https://www.artic.edu/artworks/8991,https://api.artic.edu/api/v1/artworks/8991/manifest.json,"https://lakeimagesweb.artic.edu/iiif/2/b5bc6b66-9e6e-fe57-dcec-fc49e820e904/full/1686,/0/default.jpg",8991_palette.png,outputs/color_cards/8991_palette.png,"#AF9984, #8D7968, #7B9191, #B7ADA2, #6A4F45, #B7925B, #3C5A7C, #9F5347, #38444A","19.74%, 12.40%, 11.36%, 11.14%, 10.01%, 9.31%, 9.28%, 8.51%, 8.27%",橙色、橙色、灰青色、灰色、橙色、橙色、蓝色、红色、深蓝色,中明度色调,橙色系,橙色、橙色、灰青色、灰色、橙色、橙色、蓝色、红色、深蓝色、中明度色调、橙色系,#AF9984,#8D7968,#7B9191,#B7ADA2,#6A4F45,#B7925B,#3C5A7C,#9F5347,#38444A,19.74%,12.40%,11.36%,11.14%,10.01%,9.31%,9.28%,8.51%,8.27%,橙色,橙色,灰青色,灰色,橙色,橙色,蓝色,红色,深蓝色
9010,L'Estaque,Émilie Charmy,c. 1910,欧美现代艺术,Modern Art,Oil on canvas,https://www.artic.edu/artworks/9010,https://api.artic.edu/api/v1/artworks/9010/manifest.json,"https://lakeimagesweb.artic.edu/iiif/2/9887f97d-06d5-c3b0-b075-43e9ea6c1996/full/800,/0/default.jpg",9010_palette.png,outputs/color_cards/9010_palette.png,"#475752, #39413F, #67766F, #1784B4, #96D8DB, #E9EADF, #639AB8, #A47D3F, #B8AF9F","24.39%, 21.77%, 11.16%, 10.61%, 8.71%, 7.91%, 6.84%, 4.47%, 4.13%",深绿色、深青色、灰绿色、蓝色、浅青色、白色、蓝色、橙色、灰橙色,中明度色调,绿色系,深绿色、深青色、灰绿色、蓝色、浅青色、白色、蓝色、橙色、灰橙色、中明度色调、绿色系,#475752,#39413F,#67766F,#1784B4,#96D8DB,#E9EADF,#639AB8,#A47D3F,#B8AF9F,24.39%,21.77%,11.16%,10.61%,8.71%,7.91%,6.84%,4.47%,4.13%,深绿色,深青色,灰绿色,蓝色,浅青色,白色,蓝色,橙色,灰橙色
9503,Champs de Mars: The Red Tower,Robert Delaunay,1911/23,欧美现代艺术,Modern Art,Oil on canvas,https://www.artic.edu/artworks/9503,https://api.artic.edu/api/v1/artworks/9503/manifest.json,"https://lakeimagesweb.artic.edu/iiif/2/8f5f8f8f-8765-b04e-8ffa-f4379d9511f5/full/800,/0/default.jpg",9503_palette.png,outputs/color_cards/9503_palette.png,"#49443D, #2E2C28, #62615A, #E5DBCF, #C9C0AE, #7F7E76, #A3A298, #AF8761, #844934","16.01%, 14.64%, 12.93%, 10.48%, 9.84%, 9.78%, 9.57%, 8.65%, 8.09%",深橙色、深橙色、灰色、白色、浅橙色、灰色、灰色、橙色、橙色,低饱和色调,橙色系,深橙色、深橙色、灰色、白色、浅橙色、灰色、灰色、橙色、橙色、低饱和色调、橙色系,#49443D,#2E2C28,#62615A,#E5DBCF,#C9C0AE,#7F7E76,#A3A298,#AF8761,#844934,16.01%,14.64%,12.93%,10.48%,9.84%,9.78%,9.57%,8.65%,8.09%,深橙色,深橙色,灰色,白色,浅橙色,灰色,灰色,橙色,橙色
9512,Oribe-Type Ewer,无明确作者 / 官方数据未提供,17th century,亚洲,Asian Art,Glazed stoneware,https://www.artic.edu/artworks/9512,https://api.artic.edu/api/v1/artworks/9512/manifest.json,"https://lakeimagesweb.artic.edu/iiif/2/2e28c794-3fed-bd00-ed01-64c46cee9b7e/full/1686,/0/default.jpg",9512_palette.png,outputs/color_cards/9512_palette.png,"#171717, #272726, #514E4B, #403D37, #C1A982, #DAC6A6, #A48D67, #7F6C4A, #F0E6D7","39.70%, 15.81%, 11.14%, 6.61%, 6.16%, 6.01%, 5.61%, 4.82%, 4.14%",黑色、黑色、深灰色、深橙色、橙色、浅橙色、橙色、橙色、浅灰色,深色调,黑色系,黑色、黑色、深灰色、深橙色、橙色、浅橙色、橙色、橙色、浅灰色、深色调、黑色系,#171717,#272726,#514E4B,#403D37,#C1A982,#DAC6A6,#A48D67,#7F6C4A,#F0E6D7,39.70%,15.81%,11.14%,6.61%,6.16%,6.01%,5.61%,4.82%,4.14%,黑色,黑色,深灰色,深橙色,橙色,浅橙色,橙色,橙色,浅灰色
11272,Maize and Cockscombs,无明确作者 / 官方数据未提供,17th century,亚洲,Asian Art,Ink and color on paper,https://www.artic.edu/artworks/11272,https://api.artic.edu/api/v1/artworks/11272/manifest.json,"https://lakeimagesweb.artic.edu/iiif/2/1914a6cb-8ec7-064e-4c99-de41637f889c/full/1686,/0/default.jpg",11272_palette.png,outputs/color_cards/11272_palette.png,"#B58A43, #A17839, #8B602F, #8A8A89, #62502A, #D7D6D3, #A4A5A3, #CDA052, #3C3221","23.62%, 19.81%, 11.04%, 10.51%, 9.25%, 8.12%, 7.51%, 7.15%, 2.98%",橙色、橙色、橙色、灰色、橙色、浅灰色、灰色、浅橙色、深橙色,中明度色调,橙色系,橙色、橙色、橙色、灰色、橙色、浅灰色、灰色、浅橙色、深橙色、中明度色调、橙色系,#B58A43,#A17839,#8B602F,#8A8A89,#62502A,#D7D6D3,#A4A5A3,#CDA052,#3C3221,23.62%,19.81%,11.04%,10.51%,9.25%,8.12%,7.51%,7.15%,2.98%,橙色,橙色,橙色,灰色,橙色,浅灰色,灰色,浅橙色,深橙色
